Benchmark,Time
aha-compress,3835
aha-mont64,3657
bubblesort,27320
cnt,548
compress,1322
cover,9
crc,311
crc32,3008
ctl-string,5669
cubic,117092
dijkstra,212832
dtoa,2579
duff,135
edn,13644
expint,456
fac,104
fasta,81731
fdct,585
fir,57910
frac,33199
huffbench,86387
insertsort,144
jfdctint,725
lcdnum,22
levenshtein,11441
ludcmp,614
matmult-float,3938
matmult-int,11668
miniz,608
minver,384
nbody,754346
ndes,10366
nettle-aes,15614
nettle-arcfour,3644
nettle-cast128,906
nettle-des,900
nettle-md5,277
nettle-sha256,1880
newlib-exp,8
newlib-log,152
newlib-mod,8
newlib-sqrt,525
nsichneu,1675
picojpeg,182719
prime,1863
qrduino,246547
qsort,268
qurt,2559
recursion,667
rijndael,136074
select,92
sglib-arraybinsearch,3211
sglib-arrayheapsort,4046
sglib-arrayquicksort,2922
sglib-dllist,6567
sglib-hashtable,1775
sglib-listinsertsort,8439
sglib-listsort,5314
sglib-queue,4973
sglib-rbtree,20847
slre,10286
sqrt,245646
st,84638
statemate,467
stb_perlin,24429
stringsearch1,2077
strstr,379
tarai,206
ud,500
whetstone,376280
