benchmark,sp,cfi,sfi
aha-compress,0,0,0
aha-mont64,0,0,0
bs,0,0,0
bubblesort,3,0,0
cnt,0,0,0
compress,0,0,0
cover,0,0,0
crc,0,0,0
crc32,0,0,0
ctl-stack,0,0,0
ctl-string,0,0,0
ctl-vector,0,0,0
cubic,90,0,0
dijkstra,3,0,0
dtoa,70,0,0
duff,0,0,0
edn,9,0,0
expint,0,0,0
fac,0,0,0
fasta,2,0,0
fdct,0,0,0
fir,0,0,0
frac,18,0,0
huffbench,23,0,0
insertsort,0,0,0
jfdctint,3,0,0
lcdnum,0,0,0
levenshtein,0,0,0
ludcmp,17,0,0
matmult-float,8,0,0
matmult-int,0,0,0
mergesort,12,5,0
miniz,332,5,0
minver,11,0,0
nbody,12,0,0
ndes,0,0,0
nettle-aes,0,0,0
nettle-arcfour,0,0,0
nettle-cast128,0,0,0
nettle-des,0,0,0
nettle-md5,0,0,0
nettle-sha256,0,0,0
newlib-exp,19,0,0
newlib-log,28,0,0
newlib-mod,8,0,0
newlib-sqrt,9,0,0
ns,0,0,0
nsichneu,317,0,0
picojpeg,0,1,0
prime,0,0,0
qrduino,0,0,0
qsort,0,0,0
qurt,14,0,0
recursion,0,0,0
rijndael,28,0,0
select,0,0,0
sglib-arraybinsearch,0,0,0
sglib-arrayheapsort,0,0,0
sglib-arrayquicksort,24,0,0
sglib-dllist,0,2,0
sglib-hashtable,0,1,0
sglib-listinsertsort,0,1,0
sglib-listsort,0,0,0
sglib-queue,13,0,0
sglib-rbtree,9,2,0
slre,6,0,0
sqrt,10,0,0
st,32,0,0
statemate,0,0,0
stb_perlin,31,0,0
stringsearch1,0,0,0
strstr,0,0,0
tarai,0,0,0
trio-snprintf,36,34,0
trio-sscanf,37,14,0
ud,28,0,0
whetstone,60,0,0
wikisort,200,30,0
