<instr,instr_sig>	file	line	function	assembly_line(addr:binary_code instr op1, op2; cmts)
<mrs,psp>	./baseline/beebs.cubic.s	2936	<PendSV_Handler>	 8002160:	f3ef 8009 	mrs	r0, PSP
<msr,psp>	./baseline/beebs.cubic.s	2923	<SVC_Handler>	 800213a:	f380 8809 	msr	PSP, r0
<msr,psp>	./baseline/beebs.cubic.s	2960	<PendSV_Handler>	 80021b2:	f380 8809 	msr	PSP, r0
<mrs,psp>	./baseline/baseline.s	2935	<PendSV_Handler>	 8002180:	f3ef 8009 	mrs	r0, PSP
<msr,psp>	./baseline/baseline.s	2922	<SVC_Handler>	 800215a:	f380 8809 	msr	PSP, r0
<msr,psp>	./baseline/baseline.s	2959	<PendSV_Handler>	 80021d2:	f380 8809 	msr	PSP, r0
<mrs,psp>	./baseline/hello.s	5091	<PendSV_Handler>	 8003470:	f3ef 8009 	mrs	r0, PSP
<msr,psp>	./baseline/hello.s	4841	<SVC_Handler>	 80031ca:	f380 8809 	msr	PSP, r0
<msr,psp>	./baseline/hello.s	5115	<PendSV_Handler>	 80034c2:	f380 8809 	msr	PSP, r0
<msr,msp>	./baseline/hello.s	5010	<prvPortStartFirstTask>	 80033a2:	f380 8808 	msr	MSP, r0
<msr,control>	./baseline/hello.s	5012	<prvPortStartFirstTask>	 80033aa:	f380 8814 	msr	CONTROL, r0
<mrs,psp>	./baseline/hello.baseline.s	3988	<PendSV_Handler>	 8002940:	f3ef 8009 	mrs	r0, PSP
<msr,psp>	./baseline/hello.baseline.s	3975	<SVC_Handler>	 800291a:	f380 8809 	msr	PSP, r0
<msr,psp>	./baseline/hello.baseline.s	4012	<PendSV_Handler>	 8002992:	f380 8809 	msr	PSP, r0
<mrs,psp>	./beebs/beebs.cubic.s	2936	<PendSV_Handler>	 8002160:	f3ef 8009 	mrs	r0, PSP
<msr,psp>	./beebs/beebs.cubic.s	2923	<SVC_Handler>	 800213a:	f380 8809 	msr	PSP, r0
<msr,psp>	./beebs/beebs.cubic.s	2960	<PendSV_Handler>	 80021b2:	f380 8809 	msr	PSP, r0
<mrs,psp>	./beebs/baseline.s	2935	<PendSV_Handler>	 8002180:	f3ef 8009 	mrs	r0, PSP
<msr,psp>	./beebs/baseline.s	2922	<SVC_Handler>	 800215a:	f380 8809 	msr	PSP, r0
<msr,psp>	./beebs/baseline.s	2959	<PendSV_Handler>	 80021d2:	f380 8809 	msr	PSP, r0

